epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9685,2.14156,4.3442,9.56924,1.78265,0,0.13613,0.14848,0.07967,0.03059,0.10758,0.11895,0.06007,0.01417,2.29754,4.52878,12.9092,2.02025,0,0.000545744,0.000545744,0.000545744
2,110.949,2.04592,3.87535,8.11849,1.72116,0,0.15208,0.23022,0.095,0.03445,0.13147,0.13772,0.05816,0.01842,2.34028,5.06169,9.43233,2.13476,0,0.00109711,0.00109711,0.00109711
3,167.212,2.05627,3.83915,7.87502,1.68407,0,0.09172,0.29737,0.07478,0.02565,0.06452,0.15732,0.04792,0.0144,2.2564,4.1997,9.50196,1.91705,0,0.00163131,0.00163131,0.00163131
4,223.13,2.02471,3.77113,7.72841,1.67791,0,0.15172,0.22656,0.09982,0.03965,0.12946,0.16049,0.07279,0.02448,2.22522,4.29499,8.69934,1.9286,0,0.00160905,0.00160905,0.00160905
5,280.231,2.00711,3.7504,7.57751,1.63864,0,0.11807,0.1398,0.07169,0.03251,0.11812,0.11194,0.06592,0.02402,2.25346,3.90945,8.94548,1.94451,0,0.00156493,0.00156493,0.00156493
6,336.54,1.93598,3.67243,7.4347,1.60007,0,0.19681,0.24957,0.13594,0.0593,0.17216,0.19119,0.11159,0.03964,2.11656,3.70933,8.07455,1.79129,0,0.00150941,0.00150941,0.00150941
7,393.306,1.91654,3.66128,7.38711,1.60883,0,0.23666,0.25299,0.17196,0.08261,0.19619,0.21162,0.13853,0.05599,2.08342,3.78507,8.03372,1.76173,0,0.00144335,0.00144335,0.00144335
8,450.079,1.84088,3.51397,6.96923,1.53923,0,0.23396,0.25535,0.15362,0.0688,0.19768,0.19444,0.11859,0.04268,2.07865,3.59161,7.85462,1.74135,0,0.00136781,0.00136781,0.00136781
9,506.836,1.82131,3.47525,6.80713,1.52376,0,0.21375,0.25474,0.14323,0.06765,0.17194,0.20887,0.10938,0.0434,2.02068,3.56914,7.58913,1.72898,0,0.00128398,0.00128398,0.00128398
10,563.639,1.80504,3.42474,6.76934,1.52715,0,0.20656,0.27852,0.15248,0.06585,0.1955,0.19386,0.11245,0.0379,2.01305,3.56704,7.7466,1.7133,0,0.00119317,0.00119317,0.00119317
11,620.408,1.7938,3.39879,6.65483,1.52071,0,0.22958,0.23531,0.15114,0.06752,0.20787,0.18043,0.11589,0.04367,2.00121,3.63491,7.64746,1.72232,0,0.00109683,0.00109683,0.00109683
