epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,120.631,0.41031,0.95031,3.72024,0.97666,0,0.68185,0.46684,0.47917,0.42822,0.67485,0.46698,0.47364,0.43746,0.74518,1.72347,4.83814,1.2113,0,0.000472492,0.000472492,0.000472492
2,241.509,0.46536,1.06703,3.98668,0.99277,0,0.61552,0.44266,0.44043,0.38683,0.61713,0.44345,0.43831,0.39921,0.82831,1.78111,5.25211,1.26989,0,0.000946252,0.000946252,0.000946252
3,362.555,0.5077,1.12694,4.15736,1.02271,0,0.59334,0.41691,0.3996,0.34382,0.58635,0.41473,0.39411,0.35664,0.83581,1.76559,6.1514,1.34053,0,0.00140974,0.00140974,0.00140974
4,483.95,0.53395,1.11983,4.27843,1.03869,0,0.4368,0.3831,0.37902,0.31403,0.43459,0.38083,0.37544,0.3331,0.87167,1.97832,8.28701,1.327,0,0.00139438,0.00139438,0.00139438
5,605.408,0.50878,1.07524,4.14148,1.02373,0,0.71236,0.46764,0.46291,0.3902,0.7035,0.46515,0.45593,0.41361,0.8485,1.68357,5.20285,1.31621,0,0.00136785,0.00136785,0.00136785
6,727.151,0.49912,1.07721,4.10867,1.01518,0,0.63662,0.43924,0.44138,0.37225,0.6299,0.43675,0.43435,0.39104,0.83031,1.74738,5.72615,1.28656,0,0.00133423,0.00133423,0.00133423
7,848.981,0.47305,1.02764,3.95574,1.00624,0,0.67126,0.44718,0.45066,0.38485,0.67422,0.44214,0.44527,0.41018,0.85163,1.88162,5.52074,1.29972,0,0.00129391,0.00129391,0.00129391
8,970.745,0.46326,0.98095,3.83817,1.00357,0,0.69988,0.42413,0.45727,0.38171,0.68307,0.42425,0.45131,0.40403,0.86066,1.82145,5.66539,1.31664,0,0.00124731,0.00124731,0.00124731
9,1092.68,0.46274,0.94174,3.68153,0.99787,0,0.71116,0.48406,0.47864,0.41408,0.69882,0.4873,0.47189,0.43475,0.77392,1.74058,4.63157,1.22732,0,0.00119496,0.00119496,0.00119496
10,1214.63,0.45985,0.94498,3.83293,0.99597,0,0.69674,0.49245,0.48216,0.43195,0.69012,0.48997,0.47845,0.43879,0.75691,1.67218,4.5221,1.18602,0,0.00113742,0.00113742,0.00113742
11,1336.69,0.44551,0.94001,3.56418,0.98729,0,0.62118,0.4918,0.46536,0.4144,0.61889,0.48744,0.46105,0.42621,0.7637,1.55866,4.81472,1.21505,0,0.00107532,0.00107532,0.00107532
12,1458.56,0.42876,0.90683,3.41523,0.9743,0,0.70741,0.48813,0.48458,0.42456,0.6945,0.48688,0.48075,0.44263,0.77236,1.70854,4.54427,1.21064,0,0.00100935,0.00100935,0.00100935
13,1580.47,0.42407,0.86127,3.31545,0.97971,0,0.66395,0.487,0.47655,0.42279,0.65705,0.48451,0.47051,0.44108,0.75121,1.69148,4.69087,1.22093,0,0.00094023,0.00094023,0.00094023
14,1702.47,0.41863,0.94286,3.34932,0.98023,0,0.73728,0.47288,0.48701,0.4286,0.72938,0.4717,0.48094,0.4447,0.7473,1.55237,4.57463,1.19759,0,0.000868712,0.000868712,0.000868712
15,1824.39,0.40458,0.87339,3.12961,0.97215,0,0.77785,0.48156,0.49475,0.43986,0.77283,0.48105,0.49204,0.45393,0.70417,1.69847,3.7323,1.16452,0,0.000795584,0.000795584,0.000795584
16,1946.55,0.39901,0.83577,3.09781,0.96312,0,0.6493,0.48641,0.48481,0.44051,0.63975,0.48395,0.47799,0.45152,0.6626,1.66662,4.32398,1.14393,0,0.000721645,0.000721645,0.000721645
17,2068.73,0.38219,0.85709,3.05064,0.95987,0,0.64702,0.47483,0.46812,0.42299,0.64178,0.4716,0.46614,0.43598,0.70721,1.68406,4.7581,1.18527,0,0.000647706,0.000647706,0.000647706
18,2191.44,0.38043,0.87249,2.96726,0.95717,0,0.76694,0.46808,0.48681,0.43987,0.75969,0.46559,0.4821,0.44767,0.70776,1.63421,4.16585,1.15096,0,0.000574578,0.000574578,0.000574578
19,2314,0.38076,0.91346,2.90445,0.9574,0,0.70582,0.47688,0.49021,0.44981,0.70026,0.47439,0.48304,0.45862,0.67331,1.58297,4.45825,1.16467,0,0.00050306,0.00050306,0.00050306
20,2436.41,0.3656,0.82712,2.81193,0.9527,0,0.78739,0.48329,0.49197,0.45299,0.76493,0.48842,0.48997,0.45847,0.6708,1.70134,4.08567,1.16306,0,0.000433938,0.000433938,0.000433938
21,2558.81,0.35846,0.7849,2.7296,0.94853,0,0.79224,0.49381,0.50414,0.46444,0.78394,0.49132,0.49802,0.4712,0.64676,1.62629,3.76076,1.16136,0,0.000367968,0.000367968,0.000367968
22,2681.43,0.35985,0.88778,2.67845,0.94854,0,0.80237,0.48339,0.50113,0.46272,0.75978,0.48431,0.4941,0.46626,0.63795,1.66126,3.85249,1.1298,0,0.000305872,0.000305872,0.000305872
23,2803.65,0.33426,0.78159,2.49059,0.93911,0,0.85665,0.46761,0.50428,0.46848,0.84813,0.46512,0.49928,0.47153,0.63933,1.60153,3.71913,1.14289,0,0.000248332,0.000248332,0.000248332
24,2925.94,0.3402,0.82814,2.50093,0.94332,0,0.82437,0.47721,0.50494,0.46487,0.81618,0.47472,0.49945,0.46991,0.66121,1.64071,3.55277,1.11082,0,0.000195978,0.000195978,0.000195978
25,3048.13,0.33043,0.76576,2.39814,0.93893,0,0.83319,0.48734,0.50919,0.46938,0.82483,0.48486,0.50158,0.47384,0.60562,1.59534,3.48881,1.09191,0,0.000149383,0.000149383,0.000149383
26,3174.76,0.3262,0.75117,2.23581,0.92256,0,0.79973,0.49408,0.50234,0.46396,0.792,0.49159,0.49696,0.46917,0.60784,1.76912,3.6863,1.08561,0,0.000109058,0.000109058,0.000109058
